OID,estuary,date,stationno,transectreplicate,plotreplicate,habitat,veg_cov_pct,lat,long,tide,meanCGht,maxCGht,raw_total_stems,stem_density,covertype,scientificname,estimatedcover,percentcovercode,max_height
1,Agua Hedionda,11/8/2023,2,1,1,Low marsh,65,33.14097,-117.317135,low,73.2,88,10,16.1108426,vegetation,Spartina foliosa,25,3,95
2,Agua Hedionda,11/8/2023,2,1,2,Low marsh,70,33.140983,-117.317158,low,58.3,77,16,25.77734816,vegetation,Spartina foliosa,25,3,68
3,Agua Hedionda,11/8/2023,2,2,1,Low marsh,95,33.141107,-117.31642,low,47.1,72,22,22,vegetation,Spartina foliosa,15,3,72
4,Agua Hedionda,11/8/2023,2,2,2,Low marsh,95,33.14115,-117.316395,low,30.8,54,10,10,vegetation,Spartina foliosa,4,2,51
5,Agua Hedionda,11/8/2023,2,2,3,Low marsh,50,33.141188,-117.316363,low,0,0,-88,1,vegetation,Spartina foliosa,2,2,12
6,Agua Hedionda,11/8/2023,2,2,6,Low marsh,96,33.1413,-117.316294,low,56,66,24,24,vegetation,Spartina foliosa,6,3,61
7,Agua Hedionda,11/8/2023,3,3,1,Mid marsh,80,33.13928,-117.313141,low,50.8,87,11,17.72192686,vegetation,Spartina foliosa,5,2,87
8,San Elijo Lagoon,11/22/2023,1,2,1,Low marsh,80,33.010081,-117.277711,low,51,76,22,22,vegetation,Spartina foliosa,10,3,76
9,San Elijo Lagoon,11/22/2023,1,2,5,Low marsh,100,33.01009,-117.27793,low,74,74,1,1,vegetation,Spartina foliosa,2,2,74
10,San Elijo Lagoon,11/22/2023,1,3,1,Low marsh,60,33.010813,-117.278372,low,51.7,116,16,16,vegetation,Spartina foliosa,60,5,116
11,San Elijo Lagoon,11/22/2023,1,3,2,Low marsh,60,33.010843,-117.278395,low,54,54,1,1,vegetation,Spartina foliosa,2,2,54
12,San Elijo Lagoon,11/22/2023,2,1,1,Low marsh,85,33.011975,-117.274898,low,66.2,90,14,14,vegetation,Spartina foliosa,25,3,100
13,San Elijo Lagoon,11/22/2023,2,3,1,Low marsh,75,33.009921,-117.273651,low,60.42857143,82,7,11.27758982,vegetation,Spartina foliosa,25,3,95
14,San Elijo Lagoon,11/22/2023,2,3,2,Low marsh,50,33.009868,-117.273647,low,66.5,114,14,22.55517964,vegetation,Spartina foliosa,25,3,121
15,San Elijo Lagoon,11/22/2023,2,3,3,Low marsh,95,33.009839,-117.273646,low,89.7,112,13,20.94409538,vegetation,Spartina foliosa,25,3,121
16,San Elijo Lagoon,12/14/2023,3,1,1,Low marsh,65,33.012416,-117.260524,high,30,60,-43.5,1,vegetation,Spartina foliosa,3,2,60
17,San Elijo Lagoon,12/14/2023,3,2,2,Low marsh,70,33.013379,-117.259351,high,52.5,105,-43.5,1,vegetation,Spartina foliosa,2,2,105
18,San Elijo Lagoon,12/14/2023,3,2,3,Low marsh,80,33.013402,-117.259294,high,55,110,-43.5,1,vegetation,Spartina foliosa,2,2,110
19,San Elijo Lagoon,12/14/2023,3,2,5,Low marsh,80,33.013436,-117.259214,high,94.875,118,-4.875,9.992891091,vegetation,Spartina foliosa,25,3,118
20,San Elijo Lagoon,12/14/2023,3,2,6,Low marsh,98,33.013457,-117.259157,high,103.4,123,-0.7,8.2,vegetation,Spartina foliosa,20,3,124
21,Batiquitos Lagoon,10/2/2023,1,1,2,Low marsh,25,33.08939915,-117.3061948,high,40.57142857,91,14,145.5135068,vegetation,Spartina foliosa,20,3,102
22,Batiquitos Lagoon,10/2/2023,1,1,3,Low marsh,60,33.08939314,-117.3061423,high,42.8,107,20,207.8764382,vegetation,Spartina foliosa,60,5,110
23,Batiquitos Lagoon,10/2/2023,1,1,4,Low marsh,15,33.08939307,-117.3060916,high,19.13333333,38,7.2,74.83551777,vegetation,Spartina foliosa,5,2,32
24,Batiquitos Lagoon,10/2/2023,1,2,2,Low marsh,75,33.08948854,-117.3061867,high,46.4,89,10,103.9382191,vegetation,Spartina foliosa,20,3,102
25,Batiquitos Lagoon,10/2/2023,1,2,3,Low marsh,45,33.08947863,-117.3061357,high,36.05263158,84,19,197.4826163,vegetation,Spartina foliosa,45,4,107
26,Batiquitos Lagoon,10/2/2023,1,2,4,Low marsh,40,33.08946872,-117.3060864,high,53.8,107,7.2,74.83551777,vegetation,Spartina foliosa,2,2,55
27,Batiquitos Lagoon,10/2/2023,1,2,5,Low marsh,45,33.08945663,-117.3060327,high,67.25,107,12,124.7258629,vegetation,Spartina foliosa,45,4,111
28,Batiquitos Lagoon,10/2/2023,1,3,4,Low marsh,40,33.08970603,-117.3060857,high,45.875,98,16,166.3011506,vegetation,Spartina foliosa,40,4,107
29,Batiquitos Lagoon,10/2/2023,1,3,5,Low marsh,60,33.08968981,-117.3060477,high,20.81481481,99,21.77777778,226.3543439,vegetation,Spartina foliosa,60,5,100
30,Batiquitos Lagoon,10/2/2023,1,3,6,Low marsh,60,33.08967537,-117.3060078,high,38.04761905,97,14.85714286,154.422497,vegetation,Spartina foliosa,2,2,51
31,Batiquitos Lagoon,10/1/2023,2,1,1,Low marsh,75,33.0906322,-117.2954431,low,47.14285714,110,14.85714286,154.422497,vegetation,Spartina foliosa,2,2,29
32,Batiquitos Lagoon,10/1/2023,2,1,2,Low marsh,60,33.09080829,-117.2954368,low,43.64705882,75,9.882352941,102.7154165,vegetation,Spartina foliosa,5,2,54
