estuaryname,stationno,samplecollectiondate,habitat,transectreplicate,plotreplicate,covertype,scientificname,estimatedcover,percentcovercode,tallestplantheight_cm,area_m2,meanCGht,maxCGht,raw_total_stems,maybe_stem_density,vegetated_cover,latitude,longitude,tide
Bahia de San Quintin,1,2023-10-26T00:00:00Z,Low marsh,3,2,vegetation,Spartina foliosa,1,1,76,NA,76,76,NA,NA,86,30.452063,-116.026542,mid
Bahia de San Quintin,1,2023-10-26T00:00:00Z,Low marsh,3,3,vegetation,Spartina foliosa,3,2,64,NA,64,64,NA,NA,41,30.452008,-116.026572,mid
Bahia de San Quintin,1,2023-10-26T00:00:00Z,Low marsh,3,5,vegetation,Spartina foliosa,3,2,78,NA,78,78,NA,NA,90,30.451919,-116.025645,mid
Bahia de San Quintin,1,2023-10-26T00:00:00Z,Low marsh,3,6,vegetation,Spartina foliosa,2,2,96,NA,96,96,NA,NA,64,30.451876,-116.026657,mid
Bahia de San Quintin,1,2023-10-26T00:00:00Z,Mid marsh,2,1,vegetation,Spartina foliosa,5,2,53,NA,53,53,NA,NA,77,30.452201,-116.029008,mid
Bahia de San Quintin,1,2023-10-26T00:00:00Z,Mid marsh,2,2,vegetation,Spartina foliosa,5,2,33,NA,33,33,NA,NA,54,30.452145,-116.02841,mid
Bahia de San Quintin,1,2023-10-26T00:00:00Z,Mid marsh,2,3,vegetation,Spartina foliosa,5,2,45,NA,45,45,NA,NA,69,30.452105,-116.02898,mid
Bahia de San Quintin,1,2023-10-26T00:00:00Z,Mid marsh,2,4,vegetation,Spartina foliosa,2,2,-88,NA,0,0,NA,NA,41,30.45253,-116.028463,mid
Bahia de San Quintin,1,2023-10-26T00:00:00Z,Mid marsh,2,6,vegetation,Spartina foliosa,1,1,37,NA,37,37,NA,NA,65,30.452857,-116.026283,mid
Bahia de San Quintin,2,2023-10-27T00:00:00Z,High marsh,3,6,vegetation,Spartina foliosa,60,5,83,NA,83,83,NA,NA,70,30.46602,-115.97537,mid
Bahia de San Quintin,3,2023-10-29T00:00:00Z,Low marsh,3,2,vegetation,Spartina foliosa,5,2,-88,NA,82,82,NA,NA,70,30.510324,-115.994371,mid
Bahia de San Quintin,3,2023-10-29T00:00:00Z,Low marsh,3,2,vegetation,Spartina foliosa,60,5,82,NA,82,82,NA,NA,70,30.510324,-115.994371,mid
Bahia de San Quintin,3,2023-10-29T00:00:00Z,Low marsh,3,3,vegetation,Spartina foliosa,15,3,57,NA,57,57,NA,NA,90,30.510284,-115.994393,mid
Bahia de San Quintin,3,2023-10-29T00:00:00Z,Low marsh,3,4,vegetation,Spartina foliosa,5,2,59,NA,59,59,NA,NA,50,30.510236,-115.994413,mid
Bahia de San Quintin,3,2023-10-29T00:00:00Z,Low marsh,3,6,vegetation,Spartina foliosa,5,2,-88,NA,58,58,NA,NA,75,30.510199,-115.99446,mid
Bahia de San Quintin,3,2023-10-29T00:00:00Z,Low marsh,3,6,vegetation,Spartina foliosa,30,4,58,NA,58,58,NA,NA,75,30.510199,-115.99446,mid
Bahia de San Quintin,4,2023-10-28T00:00:00Z,Mid marsh,3,2,vegetation,Spartina foliosa,5,2,-88,NA,88,88,NA,NA,40,30.441532,-115.941496,mid
Bahia de San Quintin,4,2023-10-28T00:00:00Z,Mid marsh,3,2,vegetation,Spartina foliosa,33,4,88,NA,88,88,NA,NA,40,30.441532,-115.941496,mid
Bahia de San Quintin,4,2023-10-28T00:00:00Z,Mid marsh,3,3,vegetation,Spartina foliosa,15,3,-88,NA,74,74,NA,NA,50,30.441531,-115.44154,mid
