OBJECTID,estuaryname,stationno,samplecollectiondate,transectreplicate,plotreplicate,habitat,vegetated_cover,meanCGht,maxCGht,raw_total_stems,maybe_stem_density,covertype,scientificname,estimatedcover,percentcovercode,tallestplantheight_cm,latitude,longitude,MEAN_grid_code,MIN_grid_code,MAX_grid_code
1,Agua Hedionda,2,2023-11-08T00:00:00Z,1,1,Low marsh,65,73.2,88,10,16.1108426,vegetation,Spartina foliosa,25,3,95,33.14097,-117.317135,0.033499438,0,0.05820106
2,Agua Hedionda,2,2023-11-08T00:00:00Z,1,2,Low marsh,70,58.3,77,16,25.77734816,vegetation,Spartina foliosa,25,3,68,33.140983,-117.317158,0.04841663,0,0.078534029
3,Agua Hedionda,2,2023-11-08T00:00:00Z,1,3,Low marsh,30,NA,NA,0,0,NA,NA,0,NA,NA,33.141029,-117.317125,0.004584439,0,0.020833334
4,Agua Hedionda,2,2023-11-08T00:00:00Z,1,4,Mid marsh,55,NA,NA,0,0,NA,NA,0,NA,NA,33.141073,-117.317116,0.005187247,0,0.01604278
5,Agua Hedionda,2,2023-11-08T00:00:00Z,1,5,Mid marsh,85,NA,NA,0,0,NA,NA,0,NA,NA,33.14112,-117.317107,0.020634547,0,0.037433155
6,Agua Hedionda,2,2023-11-08T00:00:00Z,1,6,Mid marsh,75,NA,NA,0,0,NA,NA,0,NA,NA,33.141156,-117.317105,0.023841822,0.010752688,0.037037037
7,Agua Hedionda,2,2023-11-08T00:00:00Z,2,1,Low marsh,95,47.1,72,22,22,vegetation,Spartina foliosa,15,3,72,33.141107,-117.31642,0.106982136,0.004878049,0.182978719
8,Agua Hedionda,2,2023-11-08T00:00:00Z,2,2,Low marsh,95,30.8,54,10,10,vegetation,Spartina foliosa,4,2,51,33.14115,-117.316395,0.131260462,0.090909094,0.174887896
9,Agua Hedionda,2,2023-11-08T00:00:00Z,2,3,Low marsh,50,NA,NA,0,0,vegetation,Spartina foliosa,2,2,12,33.141188,-117.316363,0.075712495,0.031111112,0.10798122
10,Agua Hedionda,2,2023-11-08T00:00:00Z,2,4,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.141228,-117.316331,0.087996558,0.03773585,0.133640558
11,Agua Hedionda,2,2023-11-08T00:00:00Z,2,5,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.141271,-117.316318,0.068922966,0,0.133640558
12,Agua Hedionda,2,2023-11-08T00:00:00Z,2,6,Low marsh,96,56,66,24,24,vegetation,Spartina foliosa,6,3,61,33.1413,-117.316294,0.057011014,0,0.089201875
13,Agua Hedionda,2,2023-11-08T00:00:00Z,3,1,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.141411,-117.316009,0.089206702,0.07692308,0.113402061
14,Agua Hedionda,2,2023-11-08T00:00:00Z,3,2,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.141433,-117.315976,0.101927249,0.08374384,0.122448981
15,Agua Hedionda,2,2023-11-08T00:00:00Z,3,3,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.141446,-117.315929,0.094826977,0.068783067,0.115384616
16,Agua Hedionda,2,2023-11-08T00:00:00Z,3,4,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.14149,-117.315899,0.109034397,0.08374384,0.140000001
17,Agua Hedionda,2,2023-11-08T00:00:00Z,3,5,Mid marsh,99,NA,NA,0,0,NA,NA,0,NA,NA,33.141523,-117.31585,0.106314805,0.081632651,0.135135129
18,Agua Hedionda,2,2023-11-08T00:00:00Z,3,6,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.141546,-117.315824,0.106909775,0.084577113,0.136150241
19,Agua Hedionda,3,2023-11-08T00:00:00Z,1,1,Mid marsh,85,NA,NA,0,0,NA,NA,0,NA,NA,33.140322,-117.311355,0.050800539,0,0.093117408
20,Agua Hedionda,3,2023-11-08T00:00:00Z,1,2,Mid marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.140341,-117.311401,0.023448886,0,0.063492067
21,Agua Hedionda,3,2023-11-08T00:00:00Z,1,3,Mid marsh,75,NA,NA,0,0,NA,NA,0,NA,NA,33.140374,-117.31144,0.013846296,0,0.034482758
22,Agua Hedionda,3,2023-11-08T00:00:00Z,1,4,Mid marsh,30,NA,NA,0,0,NA,NA,0,NA,NA,33.140382,-117.311489,0.029572758,0,0.078431375
23,Agua Hedionda,3,2023-11-08T00:00:00Z,1,5,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.140398,-117.311538,0.120038384,0.057692308,0.201970443
24,Agua Hedionda,3,2023-11-08T00:00:00Z,1,6,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.140331,-117.311563,0.054155132,0,0.103773586
25,Agua Hedionda,3,2023-11-08T00:00:00Z,2,1,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.14005,-117.311712,0.127799356,0.027522936,0.170731708
26,Agua Hedionda,3,2023-11-08T00:00:00Z,2,2,Mid marsh,76,NA,NA,0,0,NA,NA,0,NA,NA,33.140073,-117.311773,0.098338786,0.019011406,0.157894731
27,Agua Hedionda,3,2023-11-08T00:00:00Z,2,3,Mid marsh,65,NA,NA,0,0,NA,NA,0,NA,NA,33.140098,-117.311797,0.091688972,0,0.16504854
28,Agua Hedionda,3,2023-11-08T00:00:00Z,2,4,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.140126,-117.311838,0.112449235,0.047619049,0.170731708
29,Agua Hedionda,3,2023-11-08T00:00:00Z,2,5,Mid marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.140158,-117.311875,0.028988086,0,0.080357142
30,Agua Hedionda,3,2023-11-08T00:00:00Z,2,6,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.140178,-117.311919,0.018874722,0,0.046153847
31,Agua Hedionda,3,2023-11-08T00:00:00Z,3,1,Mid marsh,80,50.8,87,11,17.72192686,vegetation,Spartina foliosa,5,2,87,33.13928,-117.313141,0.086868409,0.015625,0.130434781
32,Agua Hedionda,3,2023-11-08T00:00:00Z,3,2,Mid marsh,25,NA,NA,0,0,NA,NA,0,NA,NA,33.139308,-117.313144,0.092111186,0,0.259615391
33,Agua Hedionda,3,2023-11-08T00:00:00Z,3,3,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.139344,-117.313161,0.143879013,0.064000003,0.259615391
34,Agua Hedionda,3,2023-11-08T00:00:00Z,3,4,Mid marsh,55,NA,NA,0,0,NA,NA,0,NA,NA,33.139402,-117.313166,0.11482816,0.081967212,0.163636357
35,Agua Hedionda,3,2023-11-08T00:00:00Z,3,5,Mid marsh,70,NA,NA,0,0,NA,NA,0,NA,NA,33.139437,-117.313174,0.102919813,0.081081077,0.163636357
36,Agua Hedionda,3,2023-11-08T00:00:00Z,3,6,Mid marsh,55,NA,NA,0,0,NA,NA,0,NA,NA,33.139477,-117.313184,0.122527129,0.069958851,0.212121218
37,San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,1,Mid marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.004516,-117.276656,0.190325016,0.069565214,0.247619048
38,San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,2,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.004531,-117.276707,0.24179546,0.208888888,0.266055048
39,San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,3,Mid marsh,75,NA,NA,0,0,NA,NA,0,NA,NA,33.004568,-117.276742,0.214999901,0.189189196,0.25
40,San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,4,Mid marsh,65,NA,NA,0,0,NA,NA,0,NA,NA,33.004592,-117.276796,0.136913514,0,0.224489793
41,San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,5,Mid marsh,98,NA,NA,0,0,NA,NA,0,NA,NA,33.004612,-117.276818,0.12926772,0,0.194029853
42,San Elijo Lagoon,1,2023-11-22T00:00:00Z,1,6,Mid marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.004642,-117.276865,0.149668767,0.049180329,0.216080397
43,San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,1,Low marsh,80,51,76,22,22,vegetation,Spartina foliosa,10,3,76,33.010081,-117.277711,0.064328476,0,0.119266056
44,San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,2,Mid marsh,78,NA,NA,0,0,NA,NA,0,NA,NA,33.010086,-117.277773,0.098252418,0.0521327,0.192307696
45,San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,3,Mid marsh,90,NA,NA,0,0,NA,NA,0,NA,NA,33.010082,-117.277817,0.090456387,0.051546391,0.15384616
46,San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,4,Mid marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.010079,-117.277873,0.135686811,0.032258064,0.252336442
47,San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,5,Low marsh,100,74,74,1,1,vegetation,Spartina foliosa,2,2,74,33.01009,-117.27793,0.22259996,0.086956523,0.309090912
48,San Elijo Lagoon,1,2023-11-22T00:00:00Z,2,6,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.010085,-117.277972,0.193836378,0.048648648,0.355450243
49,San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,1,Low marsh,60,51.7,116,16,16,vegetation,Spartina foliosa,60,5,116,33.010813,-117.278372,0.032884252,0,0.070707068
50,San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,2,Low marsh,60,54,54,1,1,vegetation,Spartina foliosa,2,2,54,33.010843,-117.278395,0.060537022,0.016393442,0.083333336
51,San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,3,Low marsh,78,NA,NA,0,0,NA,NA,0,NA,NA,33.010872,-117.278424,0.067175352,0.031578947,0.142857149
52,San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,4,Mid marsh,95,NA,NA,0,0,NA,NA,0,NA,NA,33.010916,-117.278458,0.08072888,0.043956045,0.1291866
53,San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,5,Mid marsh,100,NA,NA,0,0,NA,NA,0,NA,NA,33.010942,-117.27849,0.129817305,0.068062827,0.226086959
54,San Elijo Lagoon,1,2023-11-22T00:00:00Z,3,6,High marsh,70,NA,NA,0,0,NA,NA,0,NA,NA,33.011,-117.278528,0.118625734,0,0.224137932
