Month,Day,HI,LO,Year,"Date Time, GMT-07:00",Week Number,,,,
6,8,64.161,,2013,6/8/13 11:30,1,,,,
6,8,65.872,,2013,6/8/13 11:35,1,,,,
6,8,66.6,,2013,6/8/13 11:40,1,,,,
6,8,66,,2013,6/8/13 11:45,1,,,,
6,8,66.043,,2013,6/8/13 11:50,1,,,,
6,8,67.158,,2013,6/8/13 11:55,1,,,,
6,8,67.842,,2013,6/8/13 12:00,1,,,,
6,8,69.901,,2013,6/8/13 12:05,1,,,,
6,8,70.587,,2013,6/8/13 12:10,1,,,,
6,8,70.759,,2013,6/8/13 12:15,1,,,,
6,8,71.06,,2013,6/8/13 12:20,1,,,,
6,8,70.372,,2013,6/8/13 12:25,1,,,,
6,8,69.256,,2013,6/8/13 12:30,1,,,,
6,8,68.913,,2013,6/8/13 12:35,1,,,,
6,8,69.213,,2013,6/8/13 12:40,1,,,,
6,8,69.685,,2013,6/8/13 12:45,1,,,,
6,8,70.803,,2013,6/8/13 12:50,1,,,,
6,8,70.803,,2013,6/8/13 12:55,1,,,,
6,8,70.029,,2013,6/8/13 13:00,1,,,,
6,8,70.543,,2013,6/8/13 13:05,1,,,,
6,8,70.887,,2013,6/8/13 13:10,1,,,,
6,8,70.243,,2013,6/8/13 13:15,1,,,,
6,8,70.158,,2013,6/8/13 13:20,1,,,,
6,8,69.901,,2013,6/8/13 13:25,1,,,,
6,8,69.942,,2013,6/8/13 13:30,1,,,,
6,8,67.714,,2013,6/8/13 13:35,1,,,,
6,8,66.857,,2013,6/8/13 13:40,1,,,,
6,8,66.301,,2013,6/8/13 13:45,1,,,,
6,8,66,,2013,6/8/13 13:50,1,,,,
6,8,65.53,,2013,6/8/13 13:55,1,,,,
6,8,65.145,,2013,6/8/13 14:00,1,,,,
6,8,64.717,,2013,6/8/13 14:05,1,,,,
6,8,64.459,,2013,6/8/13 14:10,1,,,,
6,8,64.247,,2013,6/8/13 14:15,1,,,,
6,8,64.033,,2013,6/8/13 14:20,1,,,,
6,8,63.903,,2013,6/8/13 14:25,1,,,,
6,8,63.775,,2013,6/8/13 14:30,1,,,,
6,8,63.689,,2013,6/8/13 14:35,1,,,,
6,8,63.433,,2013,6/8/13 14:40,1,,,,
6,8,63.262,,2013,6/8/13 14:45,1,,,,
6,8,63.176,,2013,6/8/13 14:50,1,,,,
6,8,63.048,,2013,6/8/13 14:55,1,,,,
6,8,63.09,,2013,6/8/13 15:00,1,,,,
6,8,62.875,,2013,6/8/13 15:05,1,,,,
6,8,62.748,,2013,6/8/13 15:10,1,,,,
6,8,62.406,,2013,6/8/13 15:15,1,,,,
6,8,62.276,,2013,6/8/13 15:20,1,,,,
6,8,61.977,,2013,6/8/13 15:25,1,,,,
6,8,61.977,,2013,6/8/13 15:30,1,,,,
6,8,61.72,,2013,6/8/13 15:35,1,,,,
6,8,61.633,,2013,6/8/13 15:40,1,,,,
6,8,61.59,,2013,6/8/13 15:45,1,,,,
6,8,61.462,,2013,6/8/13 15:50,1,,,,
6,8,61.032,,2013,6/8/13 15:55,1,,,,
6,8,60.991,,2013,6/8/13 16:00,1,,,,
6,8,61.119,,2013,6/8/13 16:05,1,,,,
6,8,61.119,,2013,6/8/13 16:10,1,,,,
6,8,61.075,,2013,6/8/13 16:15,1,,,,
6,8,61.075,,2013,6/8/13 16:20,1,,,,
6,8,61.075,,2013,6/8/13 16:25,1,,,,
6,8,61.032,,2013,6/8/13 16:30,1,,,,
6,8,60.948,,2013,6/8/13 16:35,1,,,,
6,8,60.861,,2013,6/8/13 16:40,1,,,,
6,8,60.647,,2013,6/8/13 16:45,1,,,,
6,8,60.346,,2013,6/8/13 16:50,1,,,,
6,8,60.046,,2013,6/8/13 16:55,1,,,,
6,8,59.83,,2013,6/8/13 17:00,1,,,,
6,8,59.702,,2013,6/8/13 17:05,1,,,,
6,8,59.572,,2013,6/8/13 17:10,1,,,,
6,8,59.486,,2013,6/8/13 17:15,1,,,,
6,8,59.229,,2013,6/8/13 17:20,1,,,,
6,8,59.014,,2013,6/8/13 17:25,1,,,,
6,8,58.971,,2013,6/8/13 17:30,1,,,,
6,8,58.712,,2013,6/8/13 17:35,1,,,,
6,8,58.582,,2013,6/8/13 17:40,1,,,,
6,8,58.541,,2013,6/8/13 17:45,1,,,,
6,8,58.455,,2013,6/8/13 17:50,1,,,,
6,8,58.368,,2013,6/8/13 17:55,1,,,,
6,8,58.411,,2013,6/8/13 18:00,1,,,,
6,8,58.325,,2013,6/8/13 18:05,1,,,,
6,8,58.239,,2013,6/8/13 18:10,1,,,,
6,8,58.152,,2013,6/8/13 18:15,1,,,,
6,8,58.109,,2013,6/8/13 18:20,1,,,,
6,8,58.109,,2013,6/8/13 18:25,1,,,,
6,8,58.109,,2013,6/8/13 18:30,1,,,,
6,8,58.109,,2013,6/8/13 18:35,1,,,,
6,8,58.152,,2013,6/8/13 18:40,1,,,,
6,8,58.195,,2013,6/8/13 18:45,1,,,,
6,8,58.109,,2013,6/8/13 18:50,1,,,,
6,8,58.109,,2013,6/8/13 18:55,1,,,,
6,8,58.109,,2013,6/8/13 19:00,1,,,,
6,8,58.152,,2013,6/8/13 19:05,1,,,,
6,8,58.195,,2013,6/8/13 19:10,1,,,,
6,8,58.195,,2013,6/8/13 19:15,1,,,,
6,8,58.195,,2013,6/8/13 19:20,1,,,,
6,8,58.152,,2013,6/8/13 19:25,1,,,,
6,8,58.109,,2013,6/8/13 19:30,1,,,,
6,8,58.109,,2013,6/8/13 19:35,1,,,,
6,8,58.152,,2013,6/8/13 19:40,1,,,,
6,8,58.152,,2013,6/8/13 19:45,1,,,,
6,8,58.152,,2013,6/8/13 19:50,1,,,,
6,8,58.152,,2013,6/8/13 19:55,1,,,,
6,8,58.195,,2013,6/8/13 20:00,1,,,,
6,8,58.152,,2013,6/8/13 20:05,1,,,,
6,8,58.195,,2013,6/8/13 20:10,1,,,,
6,8,58.152,,2013,6/8/13 20:15,1,,,,
6,8,58.195,,2013,6/8/13 20:20,1,,,,
6,8,58.195,,2013,6/8/13 20:25,1,,,,
6,8,58.239,,2013,6/8/13 20:30,1,,,,
6,8,58.282,,2013,6/8/13 20:35,1,,,,
6,8,58.325,,2013,6/8/13 20:40,1,,,,
6,8,58.368,,2013,6/8/13 20:45,1,,,,
6,8,58.368,,2013,6/8/13 20:50,1,,,,
6,8,58.455,,2013,6/8/13 20:55,1,,,,
6,8,58.498,,2013,6/8/13 21:00,1,,,,
6,8,58.541,,2013,6/8/13 21:05,1,,,,
6,8,58.541,,2013,6/8/13 21:10,1,,,,
6,8,58.582,,2013,6/8/13 21:15,1,,,,
6,8,58.626,,2013,6/8/13 21:20,1,,,,
6,8,58.842,,2013,6/8/13 21:25,1,,,,
6,8,58.971,,2013,6/8/13 21:30,1,,,,
6,8,59.014,,2013,6/8/13 21:35,1,,,,
6,8,59.056,,2013,6/8/13 21:40,1,,,,
6,8,59.142,,2013,6/8/13 21:45,1,,,,
6,8,59.272,,2013,6/8/13 21:50,1,,,,
6,8,59.401,,2013,6/8/13 21:55,1,,,,
6,8,59.401,,2013,6/8/13 22:00,1,,,,
6,8,59.401,,2013,6/8/13 22:05,1,,,,
6,8,59.486,,2013,6/8/13 22:10,1,,,,
6,8,59.529,,2013,6/8/13 22:15,1,,,,
6,8,59.572,,2013,6/8/13 22:20,1,,,,
6,8,59.659,,2013,6/8/13 22:25,1,,,,
6,8,59.702,,2013,6/8/13 22:30,1,,,,
6,8,59.745,,2013,6/8/13 22:35,1,,,,
6,8,59.788,,2013,6/8/13 22:40,1,,,,
6,8,59.83,,2013,6/8/13 22:45,1,,,,
6,8,59.873,,2013,6/8/13 22:50,1,,,,
6,8,59.916,,2013,6/8/13 22:55,1,,,,
6,8,59.916,,2013,6/8/13 23:00,1,,,,
6,8,59.916,,2013,6/8/13 23:05,1,,,,
6,8,59.916,,2013,6/8/13 23:10,1,,,,
6,8,59.916,,2013,6/8/13 23:15,1,,,,
6,8,59.916,,2013,6/8/13 23:20,1,,,,
6,8,59.916,,2013,6/8/13 23:25,1,,,,
6,8,59.959,,2013,6/8/13 23:30,1,,,,
6,8,59.959,,2013,6/8/13 23:35,1,,,,
6,8,59.959,,2013,6/8/13 23:40,1,,,,
6,8,59.959,,2013,6/8/13 23:45,1,,,,
6,8,59.959,,2013,6/8/13 23:50,1,,,,
6,8,60.003,,2013,6/8/13 23:55,1,,,,
6,9,60.003,,2013,6/9/13 0:00,1,,,,
6,9,60.003,,2013,6/9/13 0:05,1,,,,
6,9,60.003,,2013,6/9/13 0:10,1,,,,
6,9,60.046,,2013,6/9/13 0:15,1,,,,
6,9,60.046,,2013,6/9/13 0:20,1,,,,
6,9,60.046,,2013,6/9/13 0:25,1,,,,
6,9,60.046,,2013,6/9/13 0:30,1,,,,
6,9,60.003,,2013,6/9/13 0:35,1,,,,
6,9,60.003,,2013,6/9/13 0:40,1,,,,
6,9,60.003,,2013,6/9/13 0:45,1,,,,
6,9,60.046,,2013,6/9/13 0:50,1,,,,
6,9,60.046,,2013,6/9/13 0:55,1,,,,
6,9,60.046,,2013,6/9/13 1:00,1,,,,
6,9,60.089,,2013,6/9/13 1:05,1,,,,
6,9,60.132,,2013,6/9/13 1:10,1,,,,
6,9,60.132,,2013,6/9/13 1:15,1,,,,
6,9,60.132,,2013,6/9/13 1:20,1,,,,
6,9,60.132,,2013,6/9/13 1:25,1,,,,
6,9,60.132,,2013,6/9/13 1:30,1,,,,
6,9,60.089,,2013,6/9/13 1:35,1,,,,
