OID_,estuary,date,stationno,transectreplicate,plotreplicate,habitat,veg_cov_pct,lat,long,tide,meanCGht,maxCGht,raw_total_stems,stem_density,covertype,scientificname,estimatedcover,percentcovercode,max_height,NDVI,cordgrass_density,stationid
1,Agua Hedionda,2023-11-08T00:00:00Z,2,1,1,Low marsh,65,33.14097,-117.317135,low,73.2,88,10,16.1108426,vegetation,Spartina foliosa,25,3,95,0.031624156493870986,40,LaJolla
2,Agua Hedionda,2023-11-08T00:00:00Z,2,1,2,Low marsh,70,33.140983,-117.317158,low,58.3,77,16,25.77734816,vegetation,Spartina foliosa,25,3,68,0.04615229908376932,64,LaJolla
3,Agua Hedionda,2023-11-08T00:00:00Z,2,2,1,Low marsh,95,33.141107,-117.31642,low,47.1,72,22,22,vegetation,Spartina foliosa,15,3,72,0.1065355178900063,146.66666666666666,LaJolla
4,Agua Hedionda,2023-11-08T00:00:00Z,2,2,2,Low marsh,95,33.14115,-117.316395,low,30.8,54,10,10,vegetation,Spartina foliosa,4,2,51,0.1254287287592888,250,LaJolla
5,Agua Hedionda,2023-11-08T00:00:00Z,2,2,3,Low marsh,50,33.141188,-117.316363,low,0,0,0,1,vegetation,Spartina foliosa,2,2,12,0.0734561491935026,0,LaJolla
6,Agua Hedionda,2023-11-08T00:00:00Z,2,2,6,Low marsh,96,33.1413,-117.316294,low,56,66,24,24,vegetation,Spartina foliosa,6,3,61,0.023835926757831322,400,LaJolla
7,Agua Hedionda,2023-11-08T00:00:00Z,3,3,1,Mid marsh,80,33.13928,-117.313141,low,50.8,87,11,17.72192686,vegetation,Spartina foliosa,5,2,87,0.07706815713927859,220,LaJolla
8,San Elijo Lagoon,2023-11-22T00:00:00Z,1,2,1,Low marsh,80,33.010081,-117.277711,low,51,76,22,22,vegetation,Spartina foliosa,10,3,76,-0.08971473556898889,220,LaJolla
9,San Elijo Lagoon,2023-11-22T00:00:00Z,1,2,5,Low marsh,100,33.01009,-117.27793,low,74,74,1,1,vegetation,Spartina foliosa,2,2,74,0.22268962398881004,50,LaJolla
10,San Elijo Lagoon,2023-11-22T00:00:00Z,1,3,1,Low marsh,60,33.010813,-117.278372,low,51.7,116,16,16,vegetation,Spartina foliosa,60,5,116,-0.004579936065489338,26.666666666666668,LaJolla
11,San Elijo Lagoon,2023-11-22T00:00:00Z,1,3,2,Low marsh,60,33.010843,-117.278395,low,54,54,1,1,vegetation,Spartina foliosa,2,2,54,0.056953556933685354,50,LaJolla
12,San Elijo Lagoon,2023-11-22T00:00:00Z,2,1,1,Low marsh,85,33.011975,-117.274898,low,66.2,90,14,14,vegetation,Spartina foliosa,25,3,100,-0.011474561240327986,56,LaJolla
13,San Elijo Lagoon,2023-11-22T00:00:00Z,2,3,1,Low marsh,75,33.009921,-117.273651,low,60.42857143,82,7,11.27758982,vegetation,Spartina foliosa,25,3,95,0.19894163388954966,28,LaJolla
14,San Elijo Lagoon,2023-11-22T00:00:00Z,2,3,2,Low marsh,50,33.009868,-117.273647,low,66.5,114,14,22.55517964,vegetation,Spartina foliosa,25,3,121,0.08745877631008625,56,LaJolla
15,San Elijo Lagoon,2023-11-22T00:00:00Z,2,3,3,Low marsh,95,33.009839,-117.273646,low,89.7,112,13,20.94409538,vegetation,Spartina foliosa,25,3,121,0.09475531801581383,52,LaJolla
16,San Elijo Lagoon,2023-12-14T00:00:00Z,3,1,1,Low marsh,65,33.012416,-117.260524,high,30,60,0,1,vegetation,Spartina foliosa,3,2,60,0.1829276904463768,0,LaJolla
17,San Elijo Lagoon,2023-12-14T00:00:00Z,3,2,2,Low marsh,70,33.013379,-117.259351,high,52.5,105,0,1,vegetation,Spartina foliosa,2,2,105,0.18307822020280928,0,LaJolla
18,San Elijo Lagoon,2023-12-14T00:00:00Z,3,2,3,Low marsh,80,33.013402,-117.259294,high,55,110,0,1,vegetation,Spartina foliosa,2,2,110,0.15451661850276746,0,LaJolla
19,San Elijo Lagoon,2023-12-14T00:00:00Z,3,2,5,Low marsh,80,33.013436,-117.259214,high,94.875,118,0,9.992891091,vegetation,Spartina foliosa,25,3,118,0.14843203388154508,0,LaJolla
20,San Elijo Lagoon,2023-12-14T00:00:00Z,3,2,6,Low marsh,98,33.013457,-117.259157,high,103.4,123,0,8.2,vegetation,Spartina foliosa,20,3,124,0.13847722113132477,0,LaJolla
21,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,1,2,Low marsh,25,33.08939915,-117.3061948,high,40.57142857,91,14,145.5135068,vegetation,Spartina foliosa,20,3,102,0.031115206326112935,70,LaJolla
22,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,1,3,Low marsh,60,33.08939314,-117.3061423,high,42.8,107,20,207.8764382,vegetation,Spartina foliosa,60,5,110,0.10428880393091175,33.333333333333336,LaJolla
23,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,1,4,Low marsh,15,33.08939307,-117.3060916,high,19.13333333,38,7.2,74.83551777,vegetation,Spartina foliosa,5,2,32,-0.007393689826130867,144,LaJolla
24,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,2,2,Low marsh,75,33.08948854,-117.3061867,high,46.4,89,10,103.9382191,vegetation,Spartina foliosa,20,3,102,0.05472586250730923,50,LaJolla
25,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,2,3,Low marsh,45,33.08947863,-117.3061357,high,36.05263158,84,19,197.4826163,vegetation,Spartina foliosa,45,4,107,0.08491087273547523,42.22222222222222,LaJolla
26,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,2,4,Low marsh,40,33.08946872,-117.3060864,high,53.8,107,7.2,74.83551777,vegetation,Spartina foliosa,2,2,55,0.11810549544660669,360,LaJolla
27,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,2,5,Low marsh,45,33.08945663,-117.3060327,high,67.25,107,12,124.7258629,vegetation,Spartina foliosa,45,4,111,0.014618948279392151,26.666666666666668,LaJolla
28,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,3,4,Low marsh,40,33.08970603,-117.3060857,high,45.875,98,16,166.3011506,vegetation,Spartina foliosa,40,4,107,0.024135020782092686,40,LaJolla
29,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,3,5,Low marsh,60,33.08968981,-117.3060477,high,20.81481481,99,21.77777778,226.3543439,vegetation,Spartina foliosa,60,5,100,0.04449643469637349,36.2962963,LaJolla
30,Batiquitos Lagoon,2023-10-02T00:00:00Z,1,3,6,Low marsh,60,33.08967537,-117.3060078,high,38.04761905,97,14.85714286,154.422497,vegetation,Spartina foliosa,2,2,51,0.042542604419092335,742.857143,LaJolla
31,Batiquitos Lagoon,2023-10-01T00:00:00Z,2,1,1,Low marsh,75,33.0906322,-117.2954431,low,47.14285714,110,14.85714286,154.422497,vegetation,Spartina foliosa,2,2,29,0.03473085935815776,742.857143,LaJolla
32,Batiquitos Lagoon,2023-10-01T00:00:00Z,2,1,2,Low marsh,60,33.09080829,-117.2954368,low,43.64705882,75,9.882352941,102.7154165,vegetation,Spartina foliosa,5,2,54,-0.0368650493849265,197.64705882,LaJolla
33,Batiquitos Lagoon,2023-10-01T00:00:00Z,2,2,1,Low marsh,80,33.09064747,-117.2959748,low,42.5,56,0,-109.1351301,vegetation,Spartina foliosa,2,2,41,0.029359700106498268,0,LaJolla
34,Batiquitos Lagoon,2023-10-01T00:00:00Z,2,2,2,Low marsh,80,33.09073157,-117.2959505,low,43.72222222,72,11.16666667,116.0643447,vegetation,Spartina foliosa,1,1,50,-0.018193097883149198,1116.666667,LaJolla
35,Batiquitos Lagoon,2023-10-01T00:00:00Z,2,3,1,Low marsh,30,33.09117431,-117.2974502,low,65.85714286,85,0,-77.21124849,vegetation,Spartina foliosa,5,2,26,0.032436374885340534,0,LaJolla
36,Batiquitos Lagoon,2023-10-01T00:00:00Z,2,3,2,Low marsh,60,33.09122079,-117.297444,low,69.78947368,105,12.42105263,129.102209,vegetation,Spartina foliosa,5,2,32,0.05561197764779392,248.4210526,LaJolla
37,Batiquitos Lagoon,2023-10-01T00:00:00Z,2,3,3,Low marsh,75,33.09130875,-117.2974247,low,53.83333333,80,18.375,190.9864776,vegetation,Spartina foliosa,2,2,44,0.0162660492480629,918.75,LaJolla
38,Batiquitos Lagoon,2023-10-01T00:00:00Z,2,3,4,Mid marsh,50,33.09139463,-117.2974161,low,29.41666667,46,2.75,28.583010259999998,vegetation,Spartina foliosa,1,1,29,-0.06642952542752027,275,LaJolla
39,Batiquitos Lagoon,2023-10-01T00:00:00Z,3,1,1,Low marsh,75,33.09094943,-117.29083,high,55.14285714,69,7,72.75675339,vegetation,Spartina foliosa,30,4,69,-0.01881851302459836,23.333333333333332,LaJolla
40,Batiquitos Lagoon,2023-10-01T00:00:00Z,3,3,1,Low marsh,90,33.09115868,-117.2912561,high,67.875,86,8,83.1505753,vegetation,Spartina foliosa,15,3,90,0.007511636070711048,53.333333333333336,LaJolla
41,Batiquitos Lagoon,2023-10-01T00:00:00Z,3,3,2,Low marsh,80,33.09122308,-117.2912282,high,42.34615385,89,13.30769231,138.3177839,vegetation,Spartina foliosa,10,3,85,0.019668035430922395,133.0769231,LaJolla
42,Batiquitos Lagoon,2023-10-01T00:00:00Z,3,3,2,Low marsh,80,33.09122308,-117.2912282,high,42.34615385,89,13.30769231,138.3177839,vegetation,Spartina foliosa,80,6,106,0.019668035430922395,16.6346153875,LaJolla
43,Batiquitos Lagoon,2023-10-01T00:00:00Z,3,3,3,Mid marsh,30,33.09130861,-117.2912104,high,30.29411765,104,17.23529412,179.1405777,vegetation,Spartina foliosa,10,3,77,0.03695540600234554,172.35294119999998,LaJolla
44,Batiquitos Lagoon,2023-10-01T00:00:00Z,3,3,3,Mid marsh,30,33.09130861,-117.2912104,high,30.29411765,104,17.23529412,179.1405777,vegetation,Spartina foliosa,20,3,126,0.03695540600234554,86.17647059999999,LaJolla
45,Newport Bay,2023-09-15T00:00:00Z,1,1,1,Mid marsh,75,33.62228751,-117.8913763,high,52.6,76,10,103.937895,vegetation,Spartina foliosa,0.15,1,79,0.13126419955178312,6666.666666666667,LosAngeles
46,Newport Bay,2023-09-15T00:00:00Z,1,1,2,Mid marsh,90,33.62225003,-117.8914049,high,66,66,1,10.3937895,vegetation,Spartina foliosa,0.03,1,28,0.14370563874642053,3333.3333333333335,LosAngeles
47,Newport Bay,2023-09-15T00:00:00Z,1,2,1,Low marsh,40,33.62236479,-117.8916543,mid,16.66666667,20,3,31.18136851,vegetation,Spartina foliosa,0.02,1,11,0.08393812414846923,15000,LosAngeles
48,Newport Bay,2023-09-15T00:00:00Z,2,1,1,Low marsh,70,33.63195587,-117.8858834,low,90.66666667,110,6,62.36273702,vegetation,Spartina foliosa,0.2,1,82,0.07282150340707678,3000,LosAngeles
